=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.02.23 11:47:37 =~=~=~=~=~=~=~=~=~=~=~=
,0.04,182.6,0.04,22.7,1.2-2.3,0-0.04-0.00
,0.04,42.5,0.04,22.6,1.3-2.1,0,0.03,0.03
,0.10,33.4,0.10,22.5,1.4-2.2,0,0.08,0.05
,0.04,26.2,0.04,22.6,1.3-2.1,0,0.04,0.02
,0.19,76.9,0.19,22.7,1.3-2.1,0,0.04,0.18
,0.17,49.4,0.17,22.7,1.2-2.5,0,0.11,0.13
,0.02,170.4,0.02,22.7,1.3-2.1,0-0.01,0.00
,0.11,59.8,0.11,22.6,1.3-2.2,0,0.05,0.09
,0.03,36.0,0.03,22.5,1.2-2.2,0,0.02,0.02
,0.07,16.1,0.07,22.4,1.3-2.2,0,0.06,0.02
,0.13,7.5,0.13,22.5,1.2-2.2,0,0.13,0.02
,0.09,44.1,0.09,22.7,1.4-2.3,0,0.06,0.06
,0.03,124.7,0.03,22.7,1.1-2.3,0-0.02,0.02
,0.13,6.0,0.13,22.6,1.4-2.3,0,0.13,0.01
,0.13,10.8,0.13,22.5,1.2-2.4,0,0.13,0.02
,0.08,62.7,0.08,22.5,1.2-2.2,0,0.04,0.07
,0.14,3.4,0.14,22.7,1.0-2.6,0,0.14,0.01
,0.10,49.5,0.10,22.7,1.0-2.1,0,0.06,0.07
,0.04,56.5,0.04,22.8,1.0-2.4,0,0.02,0.03
,0.07,63.4,0.07,22.7,1.0-2.2,0,0.03,0.06
,0.09,36.0,0.09,22.7,1.3-2.3,0,0.07,0.05
,0.12,355.6,0.12,22.7,1.5-2.2,0,0.12-0.01
,0.09,19.7,0.09,22.6,1.2-2.1,0,0.08,0.03
,0.09,349.4,0.09,22.7,1.1-2.2,0,0.09-0.02
,0.06,40.9,0.06,22.6,1.2-2.2,0,0.05,0.04
,0.08,41.6,0.08,22.5,1.2-2.1,0,0.06,0.05
,0.08,2.6,0.08,22.5,1.4-2.3,0,0.08,0.00
,0.09,19.6,0.09,22.7,1.4-2.2,0,0.08,0.03
,0.08,69.3,0.08,22.8,1.3-2.4,0,0.03,0.08
,0.07,2.8,0.07,22.7,1.3-2.3,0,0.07,0.00
,0.07,4.0,0.07,22.5,1.1-2.1,0,0.07,0.01
,0.10,52.0,0.10,22.7,1.2-2.3,0,0.06,0.08
,0.08,63.9,0.08,22.6,1.3-2.2,0,0.04,0.08
